source_id,file_path,source_type,date_received,author_supplied,description,rights_status,processing_status,notes
SRC-0001,source_ingest/visuals/,VISUALS,2026-06-27,yes,Author-provided Glass Horizons artwork and portraits,author-owned,processed,Original uploads preserved; optimized web copies created.
SRC-0002,source_ingest/raw/digital_exports/SRC-0002_gemini-conversation-2026-06-27-13-09-32.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported on source as 6/27/2026, 1:09:32 PM",author-supplied-private-raw,local_private_ingest_pending_review,Do not publish raw by default. Contains sensitive legal/medical/system-contact material requiring review.
SRC-0003,source_ingest/raw/digital_exports/SRC-0003_gemini-conversation-2026-06-27-13-10-25.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported on source as 6/27/2026, 1:10:25 PM",author-supplied-private-raw,local_private_ingest_pending_review,Do not publish raw by default. Contains sensitive legal/medical/system-contact material requiring review.
SRC-0004,source_ingest/raw/digital_exports/SRC-0004_gemini-conversation-2026-06-27-13-11-09.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported on source as 6/27/2026, 1:11:09 PM",author-supplied-private-raw,local_private_ingest_pending_review,Do not publish raw by default. Contains sensitive legal/medical/system-contact material requiring review.
SRC-0005,source_ingest/raw/digital_exports/SRC-0005_gemini-conversation-2026-06-27-13-11-39.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported on source as 6/27/2026, 1:11:39 PM",author-supplied-private-raw,local_private_ingest_pending_review,Do not publish raw by default. Contains sensitive legal/medical/system-contact material requiring review.
SRC-0006,Gemini_2026-06-27.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Major Gemini conversation export; exported 6/26/2026 10:29 PM; covers May 20-May 28 2026 conversations; neurological recovery statements; crisis clinic account; legal analysis; RCW/USC citations; Nextdoor harassment; cease and desist draft; AMCEP/Shores of Hecklers project details; dossier entries",author-supplied-private-raw,candidate_extraction_complete,Primary source of Steven's voice. Contains Steven's own statements mixed with Gemini analysis. Only Steven's words may be promoted. Gemini legal analysis is SOURCE_EXTRACTED candidate only — not verified fact.
SRC-0007,"Gemini_2026-06-27 (1).md",AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported 6/27/2026 12:49 PM; Geneva Convention discussion; movie trailer script and synopsis; novel scaffolding; master chronology anchors; backstory module; criminal statement outline",author-supplied-private-raw,candidate_extraction_complete,Contains Steven's trailer narration and backstory anchors. Mixed with Gemini analysis. Only Steven's words promote.
SRC-0008,"Gemini_2026-06-27 (2).md",AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation export; exported 6/27/2026 12:50 PM; Hellbound Hackers nostalgia; WeChall/CTFtime undergrounds; hacking community chronology",author-supplied-private-raw,candidate_extraction_complete,Background context on Steven's technical history. Not directly timeline-critical but supports professional background.
SRC-0009,gemini-conversation-2026-06-27-13-05-17.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; exported 6/27/2026 1:05 PM; landlord lockout crisis; self-help eviction; illegal confinement; witness intimidation; attempted murder by landlord employee; food insecurity; church/APS/CCAP failures; surveillance monitoring; Room 211 conditions; CPSS/DCR strategy; linguistic traps; three-set combinatorics; advanced game theory; military psychology; OODA loop",author-supplied-private-raw,candidate_extraction_complete,Massive source of Steven's present-tense voice from Room 211. Contains Steven's conditions, observations, and strategies. Gemini analysis is SOURCE_EXTRACTED only.
SRC-0010,gemini-conversation-2026-06-27-13-05-47.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; 988 crisis line inquiry",author-supplied-private-raw,candidate_extraction_complete,Minor file. Contains Steven's question about anonymous reports.
SRC-0011,gemini-conversation-2026-06-27-13-05-58.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; CPSS live-streaming question; misdiagnosis strategy",author-supplied-private-raw,candidate_extraction_complete,CPSS denial strategy continuation. Steven's intent to use CPSS denial as legal shield.
SRC-0012,gemini-conversation-2026-06-27-13-06-05.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; physical recovery statement; neurological repair; hyperthymesia; ataraxia; back broken at 15; quadriplegic recovery; GUTTY novel project",author-supplied-private-raw,candidate_extraction_complete,Steven's own statement on physical recovery. Contains verbiage suitable for memoranda and Chapter 2 body log.
SRC-0013,gemini-conversation-2026-06-27-13-06-20.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; GUTTY/Invariant novel content generation",author-supplied-private-raw,candidate_extraction_complete,Creative/fictional content generated with Gemini. Not directly biographical.
SRC-0014,gemini-conversation-2026-06-27-13-06-29.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0015,gemini-conversation-2026-06-27-13-06-45.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0016,gemini-conversation-2026-06-27-13-06-56.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0017,gemini-conversation-2026-06-27-13-07-04.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0018,gemini-conversation-2026-06-27-13-07-17.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0019,gemini-conversation-2026-06-27-13-07-25.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0020,gemini-conversation-2026-06-27-13-07-42.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0021,gemini-conversation-2026-06-27-13-08-06.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0022,gemini-conversation-2026-06-27-13-08-36.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; Hellbound Hackers followup",author-supplied-private-raw,candidate_extraction_incomplete,Technical background only.
SRC-0023,gemini-conversation-2026-06-27-13-09-32.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; suicidality definition request; gaslighting by Gemini response",author-supplied-private-raw,candidate_extraction_incomplete,Minor. Shows pattern of AI misinterpreting Steven.
SRC-0024,gemini-conversation-2026-06-27-13-10-25.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0025,gemini-conversation-2026-06-27-13-11-09.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0026,gemini-conversation-2026-06-27-13-11-39.md,AI_CHAT_EXPORT_GEMINI_MD,2026-06-27,yes,"Gemini conversation; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0027,gemini-conversation-2026-06-27-12-54-39.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; hypothetical law student framing of 2018 crisis clinic kidnapping; detailed chronology of January 2018 events; Bobby; webcam diagnosis; Olanzapine; 5.5 month detention; chemical castration; name/gender change",author-supplied-private-raw,candidate_extraction_complete,Critical source. Steven uses law-student hypothetical framing. Contains detailed January 2018 incident chronology in Steven's voice.
SRC-0028,gemini-conversation-2026-06-27-12-54-49.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; legal analysis continuation",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0029,gemini-conversation-2026-06-27-12-55-36.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0030,gemini-conversation-2026-06-27-12-56-00.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; extended",author-supplied-private-raw,candidate_extraction_incomplete,Not yet fully scanned.
SRC-0031,gemini-conversation-2026-06-27-12-56-31.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; DCR repel strategies; legal notice; RCW 9A.80.010; 42 USC 1983",author-supplied-private-raw,candidate_extraction_complete,Contains Steven's questions about repelling DCRs and Gemini's legal analysis.
SRC-0032,gemini-conversation-2026-06-27-12-58-03.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; square bubbles; legalese; SAP terminology; 10 USC 1980",author-supplied-private-raw,candidate_extraction_incomplete,Minor. Background context.
SRC-0033,gemini-conversation-2026-06-27-12-58-45.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini CSV export; SAP training; controlled access programs; Big 8; hyperthymesia/ataraixa",author-supplied-private-raw,candidate_extraction_incomplete,Background context on Steven's interest in intelligence terminology.
SRC-0034,Video_Generation__Scientist_vs__Junkie-2026-06-27-13-14-26.csv,AI_CHAT_EXPORT_GEMINI_CSV,2026-06-27,yes,"Gemini video generation prompt; scientist vs junkie brawl; explosion FX",author-supplied-private-raw,candidate_extraction_complete,Minor. Creative/artistic work only.
